dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
57,2,16,0.8947368421052632,0.8928571428571428,0.9142857142857144,2,5,0.0017948150634765625,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,2,5,0.0003077983856201172,1831.5
68,2,16,0.9117647058823529,0.9117647058823529,0.925,2,5,0.001959085464477539,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.0003101825714111328,1831.5
79,2,16,0.8860759493670886,0.8849358974358974,0.8992686170212766,2,7,0.0029549598693847656,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.0003638267517089844,1831.5
91,2,16,0.9010989010989011,0.9002415458937199,0.9113704071499504,2,7,0.0031533241271972656,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.00039005279541015625,1831.5
102,2,16,0.9019607843137255,0.9019607843137255,0.9180327868852459,2,5,0.002424001693725586,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,2,7,0.0004642009735107422,1831.5
114,2,16,0.9035087719298246,0.9020935960591132,0.9147348364560177,2,7,0.0035719871520996094,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,2,7,0.0005002021789550781,1831.5
11,2,32,0.9090909090909091,0.45454545454545453,0.5,0,1,2.86102294921875e-06,1831.5,0.9090909090909091,0.8264462809917354,0.9090909090909091,0,1,0.00016188621520996094,1831.5
22,2,32,0.6818181818181818,0.3409090909090909,0.5,0,1,2.86102294921875e-06,1831.5,0.6818181818181818,0.4648760330578512,0.6818181818181818,0,1,0.00016570091247558594,1831.5
34,2,32,0.8529411764705882,0.8529411764705883,0.8863636363636364,1,3,0.0008411407470703125,1831.5,0.9705882352941176,0.9718670076726342,0.9705882352941176,1,3,0.00021576881408691406,1831.5
45,2,32,0.8888888888888888,0.8863636363636364,0.9107142857142857,1,3,0.0009541511535644531,1831.5,0.9555555555555556,0.9555555555555556,0.9555555555555556,1,3,0.00022792816162109375,1831.5
