dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
1162,2,4,0.6368330464716007,0.27268566186176674,0.3017854786722712,2,7,0.04710888862609863,1884.25,0.6858864027538726,0.6257778493428642,0.6858864027538726,2,7,0.0015521049499511719,1884.25
2324,2,4,0.6424268502581756,0.2709880023820818,0.2881723090627766,2,7,0.0898129940032959,1884.25,0.6764199655765921,0.6164594684145418,0.6764199655765921,2,7,0.002615213394165039,1884.25
3486,2,4,0.6411359724612736,0.2683592599480935,0.298769288498442,2,7,0.1307063102722168,1884.28125,0.674411933448078,0.6151594758888919,0.674411933448078,2,7,0.0037240982055664062,1884.28125
4648,2,4,0.641566265060241,0.2695661393865886,0.2960480416875331,2,7,0.1732628345489502,1884.328125,0.6725473321858864,0.6145040459582333,0.6725473321858864,2,7,0.004835844039916992,1884.328125
5810,2,4,0.6440619621342513,0.2696267882933027,0.29370735461072833,2,7,0.21528410911560059,1884.421875,0.6726333907056798,0.6144566872387723,0.6726333907056798,2,7,0.005708932876586914,1884.421875
6972,2,4,0.6434308663224326,0.2691632162760666,0.29281921345756184,2,7,0.255781888961792,1884.53125,0.6732644865174986,0.6152927176237195,0.6732644865174986,2,7,0.006730794906616211,1884.53125
8134,2,4,0.6426112613720187,0.2701530448867498,0.2936103494888666,2,7,0.30246520042419434,1884.5625,0.6753134988935333,0.6171231862546297,0.6753134988935333,2,7,0.007622957229614258,1884.5625
9296,2,4,0.6421041308089501,0.2697808901685292,0.29151522117272705,2,7,0.345630407333374,1884.5625,0.6720094664371773,0.6146940098926927,0.6720094664371773,2,7,0.008662939071655273,1884.5625
10458,2,4,0.6419965576592083,0.26959918508100994,0.29217895180208553,2,7,0.3896791934967041,1884.5625,0.6711608338114362,0.6137074336033039,0.6711608338114362,2,7,0.00954580307006836,1884.5625
11621,2,4,0.643404182084158,0.2704145008358986,0.29364358077132735,2,7,0.4310131072998047,1884.8125,0.6705102831081663,0.6129840477718717,0.6705102831081663,2,7,0.010579347610473633,1884.8125
1162,2,8,0.6368330464716007,0.27268566186176674,0.3017854786722712,2,7,0.04431295394897461,1884.8125,0.6858864027538726,0.6257778493428642,0.6858864027538726,2,7,0.0014820098876953125,1884.8125
2324,2,8,0.6424268502581756,0.2709880023820818,0.2881723090627766,2,7,0.08723902702331543,1884.8125,0.6764199655765921,0.6164594684145418,0.6764199655765921,2,7,0.0025670528411865234,1884.8125
3486,2,8,0.6411359724612736,0.2683592599480935,0.298769288498442,2,7,0.12804317474365234,1884.84375,0.674411933448078,0.6151594758888919,0.674411933448078,2,7,0.0035550594329833984,1884.84375
4648,2,8,0.641566265060241,0.2695661393865886,0.2960480416875331,2,7,0.17100811004638672,1884.875,0.6725473321858864,0.6145040459582333,0.6725473321858864,2,7,0.004704952239990234,1884.875
5810,2,8,0.6440619621342513,0.2696267882933027,0.29370735461072833,2,7,0.21485590934753418,1884.890625,0.6726333907056798,0.6144566872387723,0.6726333907056798,2,7,0.005606174468994141,1884.890625
6972,2,8,0.6434308663224326,0.2691632162760666,0.29281921345756184,2,7,0.25747179985046387,1885.0,0.6732644865174986,0.6152927176237195,0.6732644865174986,2,7,0.006572723388671875,1885.0
8134,2,8,0.6426112613720187,0.2701530448867498,0.2936103494888666,2,7,0.30350184440612793,1885.0,0.6753134988935333,0.6171231862546297,0.6753134988935333,2,7,0.007668256759643555,1885.0
9296,2,8,0.6421041308089501,0.2697808901685292,0.29151522117272705,2,7,0.3473489284515381,1885.0,0.6720094664371773,0.6146940098926927,0.6720094664371773,2,7,0.008645057678222656,1885.0
10458,2,8,0.6419965576592083,0.26959918508100994,0.29217895180208553,2,7,0.4000837802886963,1885.0,0.6711608338114362,0.6137074336033039,0.6711608338114362,2,7,0.01007390022277832,1885.0
11621,2,8,0.643404182084158,0.2704145008358986,0.29364358077132735,2,7,0.4369349479675293,1885.0,0.6705102831081663,0.6129840477718717,0.6705102831081663,2,7,0.01059722900390625,1885.0
1162,2,16,0.6368330464716007,0.27268566186176674,0.3017854786722712,2,7,0.04486703872680664,1885.0,0.6858864027538726,0.6257778493428642,0.6858864027538726,2,7,0.0015187263488769531,1885.0
