dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
21,2,16,0.6666666666666666,0.4444444444444444,0.6,1,3,0.00016307830810546875,1831.125,0.7619047619047619,0.6031746031746031,0.7619047619047619,1,3,0.00020503997802734375,1831.125
24,2,16,0.7083333333333334,0.47222222222222215,0.6060606060606061,1,3,0.00016689300537109375,1831.125,1.0,1.0,1.0,2,5,0.0002110004425048828,1831.125
27,2,16,0.7037037037037037,0.4688644688644688,0.6060606060606061,1,3,0.00017213821411132812,1831.125,0.9629629629629629,0.9682539682539683,0.9629629629629629,2,5,0.00020384788513183594,1831.125
30,2,16,0.7,0.4666666666666666,0.5897435897435898,1,3,0.00016808509826660156,1831.125,0.9666666666666667,0.9714285714285714,0.9666666666666667,2,5,0.0001990795135498047,1831.125
3,2,32,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.0001881122589111328,1831.125
6,2,32,0.5,0.16666666666666666,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.5,0.25,0.5,0,1,0.0001900196075439453,1831.125
9,2,32,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00020503997802734375,1831.125
12,2,32,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00018525123596191406,1831.125
15,2,32,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.0001811981201171875,1831.125
18,2,32,0.5555555555555556,0.1851851851851852,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.5555555555555556,0.30864197530864196,0.5555555555555556,0,1,0.00018286705017089844,1831.125
21,2,32,0.47619047619047616,0.15873015873015872,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.47619047619047616,0.22675736961451248,0.47619047619047616,0,1,0.00018286705017089844,1831.125
